Word,Clues,Occurrences,Rank
ERA,9,756,1
AREA,7,612,2
ERE,7,592,3
ONE,7,589,4
ELI,7,575,5
ATE,7,572,6
ORE,6,557,7
ALE,6,547,8
ETA,6,547,8
OLE,6,514,10
ARE,6,513,11
ODE,6,502,12
ALI,6,499,13
ERR,6,499,13
ERIE,6,497,15
ALA,6,493,16
ALOE,6,480,17
IRE,5,479,18
ACE,5,473,19
EEL,5,472,20
EAR,5,467,21
ADO,5,463,22
SPA,5,451,23
ANTE,5,450,24
EDEN,5,444,25
ASH,5,438,26
IRA,5,436,27
ARIA,5,433,28
END,5,429,29
ELSE,5,426,30
SEE,5,414,31
EST,5,411,32
ESS,5,410,33
APE,5,407,34
ENE,4,398,35
AGE,4,396,36
NEE,4,396,36
OREO,4,394,38
EAT,4,389,39
ASS,4,388,40
IDEA,4,386,41
ANT,4,383,42
EGO,4,381,43
ICE,4,380,44
ESE,4,378,45
SET,4,376,46
TEE,4,374,47
ART,4,370,48
AHA,4,368,49
ARI,4,367,50
NET,4,365,51
TEA,4,364,52
SEA,4,360,53
EVE,4,359,54
ECO,4,357,55
ANTI,4,355,56
TEN,4,355,56
ORAL,4,354,58
ANA,4,350,59
ISEE,4,348,60
YES,4,346,61
LEE,4,344,62
USE,4,342,63
TAR,4,340,64
ASIA,4,335,65
ODOR,4,335,65
EON,4,332,67
ESP,4,332,67
SHE,4,331,69
EPEE,4,329,70
STY,4,328,71
ARENA,4,327,72
IDO,4,327,72
TNT,4,325,74
TSAR,4,325,74
EASE,4,324,76
ETNA,4,323,77
ELS,4,322,78
ASEA,3,319,79
ETAL,3,319,79
NEO,3,319,79
NOR,3,319,79
ETE,3,314,83
OAR,3,314,83
ONCE,3,314,83
LIE,3,313,86
OSLO,3,313,86
RNA,3,313,86
ALAS,3,312,89
EROS,3,312,89
EPA,3,311,91
ACRE,3,310,92
ISLE,3,309,93
ADS,3,308,94
ONO,3,308,94
STAR,3,307,96
ETS,3,304,97
OBOE,3,304,97
RIO,3,303,99
LEI,3,301,100
ECHO,3,299,101
TREE,3,299,101
